Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2018/19,East Midlands,3457,15149535.549999999,26418830.45,407816,1079856,201246.98000174848,7418578.05917683,1345985.3504141846,36872312.83959276
2018/19,East of England,2721,10039475.799999999,16694445.4,392836,755391,158401.22435196923,4912990.70412659,1235737.6437798617,24149801.972258423
2018/19,London,5219,24684198.9,47098700.6,581176,1159467,303820.65045679064,8058702.957323452,2190504.1905547744,59392371.39833502
2018/19,North East,2669,6189870,11100948.15,270528,556366,155374.07857236525,4666446.210908259,1127095.4862712815,17876757.925751906
2018/19,North West,4865,14236209.7,26307093.7,480600,1203374,283212.7734187175,11306028.103777446,2697857.7142894254,42278166.291485585
2018/19,Northern Ireland,2791,4578872.649999999,8524553.1,298159,489714,162476.22828605148,9610047.507906867,2507867.7344098883,21592817.57060281
2018/19,Scotland,6342,26452567.8,49871308.8,424264,1360421,369195.3564278533,11993098.423996761,3282812.779101634,67301100.35952625
2018/19,South East,2773,9472825.85,17064486.95,311231,729106,161428.3701315732,3647437.4868751788,1190782.2682590699,23104472.07526582
2018/19,South West,3203,13778009.549999999,25166226.25,327127,935519,186460.5371552214,3334989.699088324,1252863.5011211159,31203185.98736466
2018/19,Wales,2701,6936442,12384417.549999999,385862,569925,157236.93751366,5272926.765938371,1651039.6843052723,20421407.937757302
2018/19,West Midlands,6233,18882203.45,32966944,477741,1419572,362849.9931590681,7764105.452643146,2478432.667104608,45469645.11290682
2018/19,Yorkshire and The Humber,2780,8479831.2,15035324.45,295489,626006,161835.8705249814,3612427.141898488,1211119.223851809,20942201.686275277
2019/20,East Midlands,3086,13673963.6,23807086.45,378590,959814,224434.9075545972,6383528.716475627,1215070.0440586545,32968524.11808888
2019/20,East of England,2499,9302215.549999999,15443316.799999999,366284,696654,181744.2754306346,4892034.374770298,1222207.8256098349,22802241.275810767
2019/20,London,4496,21693193.4,41498204.449999996,534804,1009384,326979.69681317854,7438603.95629873,2069956.6498423528,52877932.75295426
