Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2015/16,proposition_Foundations,15701,21889043.599999998,39287676.6,2087852,2578635,241873.92284610137,21462032.873493988,6040852.144882054,71698922.54122214
2015/16,NA,28289,158486226.4,288409595.09999996,2890560,15896446,435792.0771538986,47406239.56123564,12129200.947941115,367167833.6863306
2016/17,proposition_Foundations,15701,21532907.2,38648463,2087852,2578635,843139.3017604592,21462032.873493988,6181404.189532052,71801526.3647865
2016/17,NA,28208,153426792.65,279178871.34999996,2870332,15604978,1514761.698239541,52273832.2385077,13488573.042587979,364931348.3293352
2017/18,proposition_Foundations,15701,21121185.9,37909482.35,2087852,2578635,877738.6011330304,21462032.873493988,6109400.044509384,71025140.86913641
2017/18,NA,28958,143853835.1,261761213.65,2847665,14845544,1618849.3988669696,60401444.03345209,15307699.385088973,356782415.46740806
2018/19,proposition_Foundations,15205,20177460.65,36200788.55,2026462,2514191,885187.7621743312,20294421.600602042,5911631.880984129,67832682.7937605
2018/19,NA,30547,138702581.79999998,252442702.75,2932096,14475842,1778351.2378256689,61303356.913057655,16260466.362478798,349192815.2633621
2019/20,proposition_Foundations,13557,19341205.15,34726121,1889314,2377973,986006.6846618691,18071992.676634677,5270977.145487158,63322384.5067837
2019/20,NA,26324,122241670.5,222508099.75,2590267,12935887,1914556.3153381308,61063276.32308841,16195626.339628613,317207712.7280552
2020/21,proposition_Foundations,9905,17507510.349999998,31691744.25,1376480,2065472,944942.6880078197,10569300.02644144,2967632.455235125,49615571.41968439
2020/21,NA,22833,113020899.39999999,207540987.79999998,2100127,11934090,2178281.31199218,47849831.69877346,13669323.457313474,285272641.2680791
2021/22,proposition_Foundations,8767,16708285.95,30725041.8,1049371,1976511,885409.7048265749,14232676.472029641,3840194.2295609578,52709204.20641717
2021/22,NA,22601,111465827.8,207742621.4,1737524,12316442,2282553.295173425,66177829.988441825,16594636.115887968,306851606.7995032
2022/23,proposition_Foundations,9018,16750587.9,30986474.599999998,882923,2025710,1116377.2202785378,16131747.823798751,4419697.093983084,55562929.73806037
2022/23,NA,23509,114356897.1,213646097.5,1551137,13190801,2910280.779721462,76693442.16623294,19649368.63073496,327641127.07668936
2023/24,proposition_Foundations,9529,16719028.25,30523729.5,779751,2090119,1480494.8872975227,16593037.46287589,4759736.167101799,56226868.017275214
2023/24,NA,24055,119805720.1,220265668,1347979,14144465,3737360.1127024773,72443258.95581363,19774050.737179115,331712781.80569524
